leaver_hazardinflow,loser_hazardinflow,entrant_hazardinflow,date
0.01623759530098548,0.005518465068089064,0.03694852659662164,1980-02-01
0.014515163160610954,0.0055946649135212,0.03607017776097299,1980-03-01
0.016567238516841838,0.005573692188214159,0.03594569037120541,1980-04-01
0.019894574269277925,0.005834398921211561,0.04503067274282208,1980-05-01
0.019777618400325103,0.006059838274997216,0.07177478038730117,1980-06-01
0.020569515714622007,0.006011744752018913,0.046514250880293734,1980-07-01
0.019215946303668886,0.006318440697522058,0.039342761125557096,1980-08-01
0.01647564614675995,0.006937782719163853,0.04653130113783252,1980-09-01
0.016122713178468858,0.006067169710277825,0.040911796917825226,1980-10-01
0.01658046399676931,0.006009005314669717,0.03789940619710957,1980-11-01
0.017204713369081026,0.0040912198416994386,0.0317795973551791,1980-12-01
0.02055664645247486,0.005548031671058538,0.04326621920808136,1981-01-01
0.017408744986925104,0.005477100923472592,0.03620660413622494,1981-02-01
0.01678404398175094,0.004321611873474399,0.036964605421034344,1981-03-01
0.015246627998578888,0.004276074306748284,0.03655543924059958,1981-04-01
0.01600257177505429,0.005468129048601373,0.042202682896081124,1981-05-01
0.01784775824287044,0.006030746365233386,0.06992499776310039,1981-06-01
0.018568046511744887,0.006174473877417876,0.04691859056538157,1981-07-01
0.017426984684427497,0.006321264084677326,0.038576180213566395,1981-08-01
0.01912838011699131,0.0073662658130509255,0.04741641302446207,1981-09-01
0.020665124096730863,0.006734020960587252,0.0410186476734047,1981-10-01
0.02268287961121377,0.005159759529243616,0.043481259667288615,1981-11-01
0.024989141916904437,0.004627807265652672,0.03475949894635636,1981-12-01
0.02989022157343181,0.005457904460695255,0.04275401872972664,1982-01-01
0.022661649109127813,0.004759950198769856,0.0374043592442022,1982-02-01
0.022000077613269754,0.0042616886114410285,0.03847209178453415,1982-03-01
0.02081531257665323,0.004836788398830378,0.04025796184301089,1982-04-01
0.02057352300042618,0.004324686961183957,0.047060159525731456,1982-05-01
0.022514512506420444,0.004676386059303377,0.06526256983269485,1982-06-01
0.02412118412765229,0.005088508634349635,0.0521614035697557,1982-07-01
0.023244234945437613,0.0054166411980699335,0.04178693999585124,1982-08-01
0.02508742096338517,0.005818303359821848,0.047628159588441,1982-09-01
0.02524879773670919,0.004217373401163045,0.03975792722166974,1982-10-01
0.02706967845594251,0.003384233777154492,0.037853942802482686,1982-11-01
0.02490905426071928,0.00298160092743598,0.03572674945954568,1982-12-01
0.027322572370815482,0.0032882662033301606,0.04007889721777881,1983-01-01
0.022581973958178084,0.003928440220481692,0.03643659786754312,1983-02-01
0.01905713363900623,0.0030733961653964265,0.03545096388735699,1983-03-01
0.01765861818517631,0.0033631679774032545,0.03857979149058991,1983-04-01
0.01747012656640897,0.0036766871696985695,0.04423373660439358,1983-05-01
0.019800931116664044,0.004523940346061994,0.07038710313034403,1983-06-01
0.021053507359276344,0.00461166767400251,0.04657595060770119,1983-07-01
0.019881276361818585,0.005172047844313161,0.040390783407478016,1983-08-01
0.02055627676141724,0.006673046623043438,0.051245409682593286,1983-09-01
0.019386242786835116,0.005681197071194357,0.04051779219021838,1983-10-01
0.018184560032807207,0.005418056440227634,0.03748086338846423,1983-11-01
0.01837498000554909,0.004260072510342902,0.03536928841056359,1983-12-01
0.02116257402892143,0.005109031930586254,0.037525585866607106,1984-01-01
0.01813480668821801,0.004716904830174311,0.03499738878895481,1984-02-01
0.016506310667646577,0.003803250488862259,0.03471460022961912,1984-03-01
0.014828547197428644,0.004223059845911811,0.038828967288543334,1984-04-01
0.013773226242245655,0.004093775693190856,0.04333107032761203,1984-05-01
0.01576259464014418,0.005214124053351032,0.06542439611620775,1984-06-01
0.019129799320463606,0.005417877305427199,0.044860432324051,1984-07-01
0.018023614350390793,0.005804402987929448,0.043301574082529125,1984-08-01
0.016641205842296825,0.0063283882475217035,0.04717390078732691,1984-09-01
0.01773364781152583,0.005580053399840593,0.042775009798634814,1984-10-01
0.018336389499273773,0.005479819102198936,0.03883402870781534,1984-11-01
0.01814767847506957,0.003734378662516358,0.03311211250631217,1984-12-01
0.02310374596359207,0.004953248480585536,0.04396359321272876,1985-01-01
0.018061673281701558,0.004695673626804839,0.03980852962772735,1985-02-01
0.015857179033260456,0.004148242373841513,0.0411681722430426,1985-03-01
0.01640012946813039,0.004497042336416709,0.03954879055377103,1985-04-01
0.014189037412453455,0.004956972055607502,0.051247926002283305,1985-05-01
0.016487899737375956,0.005969685195699932,0.0710619941333612,1985-06-01
0.01866588446834453,0.005983077526287167,0.052124520435100886,1985-07-01
0.017392261027858822,0.0063184351067721405,0.041259682497018356,1985-08-01
0.016687053492638833,0.006892944324121712,0.05180840535967921,1985-09-01
0.016831327381844487,0.005922508049286156,0.044128001269173156,1985-10-01
0.0177792659417023,0.0055639610464016526,0.04206807819839539,1985-11-01
0.016617642523886204,0.00454546315843977,0.03561971288388433,1985-12-01
0.018687064304009286,0.005799291025916387,0.043140566564697586,1986-01-01
0.016958124644609572,0.004880697523230646,0.03958364542010982,1986-02-01
0.015625106539702067,0.005357182770488625,0.0402734683905528,1986-03-01
0.015643017893494402,0.006158100951859721,0.03999445060361991,1986-04-01
0.015180655912970787,0.005179911283926041,0.051135627686026267,1986-05-01
0.015434294437819783,0.005498493510143482,0.07085083684957433,1986-06-01
0.01671456187260616,0.006747422019139162,0.05042254672486144,1986-07-01
0.014942148339374562,0.007672836150228434,0.04312700872306509,1986-08-01
0.015257603543676933,0.0075303703849775375,0.04874329131984215,1986-09-01
0.016534200952731625,0.00717906602886859,0.041014405528759366,1986-10-01
