date,unemp_rate,unemp_initialclaim,unemp_continueclaim,unemp_perlabforce,unemp_perlabforceperunemp,unemp_duration
1981-04-01,7.2,410250.0,2.857e6,2.622905669038329,36.42924540331013,13.9
1981-05-01,7.5,416400.0,2.904e6,2.658805002655143,35.450733368735236,13.6
1981-06-01,7.5,433000.0,2.90325e6,2.67837374072844,35.7116498763792,13.7
1981-07-01,7.2,430750.0,2.883e6,2.6557721360403845,36.885724111672005,13.8
1981-08-01,7.4,450200.0,2.9484e6,2.711795815129915,36.6458893936475,14.4
1981-09-01,7.6,473250.0,3.013e6,2.782240936709328,36.60843337775432,13.6
1981-10-01,7.9,492800.0,3.127e6,2.8681758144995597,36.306022968348856,13.5
1981-11-01,8.3,511750.0,3.33725e6,3.0550825735105644,36.80822377723572,13.1
1981-12-01,8.5,551000.0,3.52525e6,3.2367874981636553,38.07985291957242,13.1
1982-01-01,8.6,535200.0,3.5336e6,3.2391900191586687,37.66500022277522,13.4
1982-02-01,8.9,533750.0,3.5555e6,3.248010816045018,36.494503551067616,14.1
1982-03-01,9.0,556500.0,3.6555e6,3.3363147663073733,37.07016407008192,14.1
1982-04-01,9.3,587000.0,3.8645e6,3.5189400837734475,37.83806541691879,14.5
1982-05-01,9.4,583800.0,3.9918e6,3.614091316511394,38.44777996288717,14.9
1982-06-01,9.6,599500.0,4.09425e6,3.719306692344728,38.74277804525759,15.7
1982-07-01,9.8,576000.0,4.1014e6,3.7169889978430697,37.92845916166397,15.4
1982-08-01,9.8,629500.0,4.26025e6,3.8549414553812182,39.33613729980835,16.2
1982-09-01,10.1,660750.0,4.45275e6,4.021594819410952,39.817770489217345,16.6
1982-10-01,10.4,652400.0,4.6396e6,4.189482048688868,40.28348123739296,17.2
1982-11-01,10.8,594250.0,4.601e6,4.143178748311572,38.36276618807011,17.1
1982-12-01,10.8,523750.0,4.4e6,3.961002133539785,36.67594568092393,18.1
1983-01-01,10.4,501000.0,3.919e6,3.5403586431184784,34.04191002998537,19.4
1983-02-01,10.4,488750.0,3.85925e6,3.48830377641593,33.54138246553779,19.2
1983-03-01,10.3,480250.0,3.7675e6,3.406819969797535,33.07592203686927,19.4
1983-04-01,10.2,496000.0,3.7602e6,3.3928249178907857,33.26298939108614,19.5
1983-05-01,10.1,468000.0,3.62425e6,3.2711018448319438,32.3871469785341,20.5
1983-06-01,10.1,444250.0,3.4555e6,3.088604653241448,30.580244091499488,20.8
1983-07-01,9.4,408000.0,3.1896e6,2.854074948996027,30.36249945740454,21.2
1983-08-01,9.5,435750.0,3.10575e6,2.767283549108535,29.12930051693195,20.0
1983-09-01,9.2,408750.0,3.007e6,2.6776968423302288,29.105400460111184,20.2
1983-10-01,8.8,402200.0,2.9028e6,2.5934992763075604,29.471582685313187,20.2
1983-11-01,8.5,392500.0,2.78775e6,2.4840057739601527,29.22359734070768,19.7
1983-12-01,8.3,368800.0,2.7122e6,2.41455749730697,29.09105418442132,19.2
1984-01-01,8.0,351000.0,2.54925e6,2.27187658743951,28.398457342993876,20.4
1984-02-01,7.8,339250.0,2.4695e6,2.1928695111663634,28.113711681620046,19.0
1984-03-01,7.8,345800.0,2.4244e6,2.1509497573483096,27.576278940362947,19.1
1984-04-01,7.7,369250.0,2.42225e6,2.1417266441493217,27.81463174219898,18.9
1984-05-01,7.4,360250.0,2.385e6,2.0985666393897,28.359008640401346,18.8
1984-06-01,7.2,361400.0,2.3604e6,2.073855399457023,28.803547214680876,18.1
1984-07-01,7.5,360500.0,2.353e6,2.0645421682518514,27.527228910024686,18.0
1984-08-01,7.5,389500.0,2.38575e6,2.0986171953343535,27.98156260445805,17.3
1984-09-01,7.3,395400.0,2.4348e6,2.1384719428757126,29.294136203776887,17.0
1984-10-01,7.4,419250.0,2.524e6,2.2136661433620715,29.91440734273069,16.7
1984-11-01,7.2,407000.0,2.58425e6,2.2635105544363667,31.43764658939398,17.0
1984-12-01,7.3,385600.0,2.547e6,2.222881629589548,30.450433282048607,16.8
1985-01-01,7.3,370750.0,2.55225e6,2.2246676835911963,30.47489977522187,15.9
1985-02-01,7.2,391750.0,2.6235e6,2.2837668442494516,31.718983947909052,15.9
1985-03-01,7.2,380800.0,2.5644e6,2.2235710321864595,30.882931002589714,16.1
1985-04-01,7.3,398250.0,2.57875e6,2.235955640721055,30.62952932494596,16.4
1985-05-01,7.2,392750.0,2.56075e6,2.2222174011142544,30.86413057103131,15.3
1985-06-01,7.4,392400.0,2.5518e6,2.2196320619318923,29.99502786394449,15.5
1985-07-01,7.4,378250.0,2.5425e6,2.2047346514047867,29.79371150547009,15.5
1985-08-01,7.1,404400.0,2.5626e6,2.2227233695605033,31.30596295155639,15.3
1985-09-01,7.1,408500.0,2.5805e6,2.226392304042103,31.35763808510005,15.3
1985-10-01,7.1,405750.0,2.63175e6,2.2659176029962547,31.914332436566966,15.3
1985-11-01,7.0,393400.0,2.6252e6,2.2604727257071513,32.29246751010216,15.7
1985-12-01,7.0,385250.0,2.64375e6,2.2721608195678704,32.459440279541006,15.1
1986-01-01,6.7,366750.0,2.604e6,2.2317066899778886,33.30905507429684,14.8
1986-02-01,7.2,369500.0,2.5685e6,2.1975154429253436,30.52104781840755,15.2
1986-03-01,7.2,381200.0,2.5936e6,2.2125917078996755,30.730440387495495,14.6
1986-04-01,7.1,385750.0,2.60875e6,2.2236949776671553,31.319647572776837,14.7
1986-05-01,7.2,386000.0,2.671e6,2.2726499217207814,31.564582246121965,14.7
1986-06-01,7.2,370500.0,2.635e6,2.2314623488364216,30.992532622728074,15.2
1986-07-01,7.0,362000.0,2.608e6,2.207755927841597,31.5393703977371,15.2
1986-08-01,6.9,407400.0,2.6556e6,2.24765129073212,32.57465638742203,15.5
1986-09-01,7.0,395500.0,2.707e6,2.286414122217999,32.66305888882856,15.4
1986-10-01,7.0,383250.0,2.71875e6,2.2939940598737723,32.77134371248246,15.2
1986-11-01,6.9,363200.0,2.6308e6,2.217576748655529,32.13879345877578,15.0
1986-12-01,6.6,358250.0,2.57125e6,2.1678006255743565,32.845464023853886,15.0
1987-01-01,6.6,345600.0,2.5124e6,2.1140140519163615,32.03051593812669,14.9
1987-02-01,6.6,348750.0,2.472e6,2.075183425395813,31.44217311205777,14.7
1987-03-01,6.6,333250.0,2.42925e6,2.036765322377798,30.86008064208785,14.9
1987-04-01,6.3,336250.0,2.411e6,2.020345914057786,32.068982762822,14.8
1987-05-01,6.3,331000.0,2.324e6,1.9365375641623892,30.738691494641103,14.9
1987-06-01,6.2,322250.0,2.279e6,1.9048176256226808,30.722864929398074,14.9
1987-07-01,6.1,319250.0,2.1965e6,1.8319127287284616,30.031356208663308,14.2
1987-08-01,6.0,325600.0,2.2116e6,1.8381289582606093,30.63548263767682,14.4
1987-09-01,5.9,309750.0,2.19675e6,1.8304572080892583,31.024698442190818,14.2
1987-10-01,6.0,300000.0,2.0468e6,1.6984623555087173,28.30770592514529,14.0
1987-11-01,5.8,306750.0,2.08225e6,1.7274348763895802,29.78335993775138,14.0
1987-12-01,5.7,318750.0,2.1155e6,1.7522716165958467,30.741607308699066,14.2
1988-01-01,5.7,335600.0,2.188e6,1.8087278558969655,31.732067647315183,14.2
1988-02-01,5.7,318750.0,2.1415e6,1.7675558783716863,31.00975225213485,14.4
1988-03-01,5.7,305500.0,2.112e6,1.746710444699908,30.64404288947207,13.7
1988-04-01,5.4,312200.0,2.0812e6,1.7164394520457562,31.785915778625114,13.3
1988-05-01,5.6,313750.0,2.06775e6,1.7078821517952274,30.49789556777192,13.8
1988-06-01,5.4,308250.0,2.043e6,1.681855227087501,31.14546716828705,13.1
1988-07-01,5.4,321600.0,2.0652e6,1.6974479102453457,31.434220560098993,13.4
1988-08-01,5.6,314750.0,2.088e6,1.7097236438075742,30.530779353706684,13.6
1988-09-01,5.4,304500.0,2.07575e6,1.7019924565431288,31.518378824872755,13.6
1988-10-01,5.4,291400.0,2.0156e6,1.649346185948317,30.54344788793179,13.4
1988-11-01,5.3,290500.0,1.97825e6,1.6130939276074918,30.435734483160225,12.6
1988-12-01,5.3,293200.0,2.0452e6,1.6678899381840124,31.469621475170044,12.9
1989-01-01,5.4,289750.0,2.061e6,1.6703136396790665,30.93173406813086,12.6
1989-02-01,5.2,303750.0,2.11375e6,1.7166118487838553,33.01176632276645,12.4
1989-03-01,5.0,322000.0,2.1315e6,1.7297345549270857,34.594691098541716,12.3
1989-04-01,5.2,311800.0,2.0988e6,1.6985392303645857,32.66421596854972,12.5
1989-05-01,5.2,324500.0,2.0935e6,1.6954986474885403,32.60574322093346,12.0
1989-06-01,5.3,333000.0,2.12275e6,1.7119641921045203,32.30121117178341,11.1
1989-07-01,5.2,341600.0,2.1794e6,1.758048512910694,33.808625248282574,11.8
1989-08-01,5.2,334500.0,2.20725e6,1.7776605511975903,34.18577983072289,11.4
