date,laborforce_total,laborforce_rate,laborforce_rate_workage,laborforce_not,pop,laborforce_jobfindrate,laborforce_jobseparaterate
1987-06-01,119644.0,65.5,82.5,63059.0,154600.185609107,0.5822829577416727,0.1294591443339443
1987-07-01,119902.0,65.6,82.6,62983.0,154687.499801635,0.6022459291897088,0.12757707621330688
1987-08-01,120318.0,65.7,82.6,62684.0,154795.942387963,0.579838151079421,0.12614491375854858
1987-09-01,120011.0,65.5,82.6,63150.0,154927.735789452,0.6271980035776495,0.12444674183119583
1987-10-01,120509.0,65.7,82.7,62802.0,155012.619461608,0.5775882127302931,0.12462957381560341
1987-11-01,120540.0,65.7,82.6,62930.0,155187.996841427,0.6263799286166998,0.1232415894453633
1987-12-01,120729.0,65.7,82.7,62891.0,155279.933529254,0.6270107895750788,0.1209500324752615
1988-01-01,120969.0,65.8,82.6,62853.0,155413.325142539,0.5842462268530808,0.11980566989503498
1988-02-01,121156.0,65.9,82.7,62813.0,155554.051389497,0.5854020517025501,0.11939827440053487
1988-03-01,120913.0,65.7,82.8,63198.0,155615.757183095,0.5918068580217914,0.1185400955668286
1988-04-01,121251.0,65.8,82.8,62981.0,155673.194186285,0.6769898758087379,0.11634361458160668
1988-05-01,121071.0,65.7,82.8,63303.0,155815.425917539,0.5832220343135733,0.11531337446580309
1988-06-01,121473.0,65.8,82.6,63089.0,155986.310167902,0.6769056939832065,0.11498966424258951
1988-07-01,121665.0,65.9,82.8,63064.0,156085.972428301,0.5959777741575869,0.11293134726299577
1988-08-01,122125.0,66.1,83.0,62705.0,156149.165593753,0.5873628334595913,0.11573713509964377
1988-09-01,121960.0,65.9,82.9,63002.0,156274.026381349,0.6842724587491792,0.1151284209645973
1988-10-01,122206.0,66.0,83.0,62908.0,156356.59052748,0.6458290693038641,0.11302440757364525
1988-11-01,122637.0,66.2,83.3,62607.0,156451.539988457,0.6467379007648201,0.11223973555139209
1988-12-01,122622.0,66.1,83.2,62780.0,156549.57720412497,0.6116581369785764,0.1109891929652528
1989-01-01,123390.0,66.5,83.5,62254.0,156746.36981376196,0.6115714356399728,0.11279865140663538
1989-02-01,123135.0,66.3,83.4,62642.0,156882.61861286004,0.7472642883384253,0.11097503334525068
1989-03-01,123227.0,66.3,83.3,62670.0,156977.896006689,0.698350187961759,0.10698672718996985
1989-04-01,123565.0,66.4,83.3,62459.0,156912.584762542,0.6140098600012215,0.10804307750105469
1989-05-01,123474.0,66.3,83.2,62707.0,156986.091102136,0.6659989523424032,0.10879383200044533
1989-06-01,123995.0,66.5,83.2,62334.0,157080.026449858,0.6663716120955466,0.11075907505964008
1989-07-01,123967.0,66.5,83.3,62516.0,157145.164347487,0.6830117031281109,0.11063762262392066
1989-08-01,124166.0,66.5,83.3,62432.0,157269.112306111,0.6410997441270951,0.10984808310976137
1989-09-01,123944.0,66.4,83.6,62782.0,157506.027331487,0.6568014775210144,0.11088793055782789
1989-10-01,124211.0,66.5,83.5,62660.0,157551.584327377,0.6582547188849831,0.11200747922964963
1989-11-01,124637.0,66.6,83.8,62380.0,157676.524440628,0.6451473882656799,0.1129086925086316
1989-12-01,124497.0,66.5,83.7,62668.0,157819.220675952,0.6844122075582463,0.11289515704810238
1990-01-01,125833.0,66.8,83.8,62580.0,159330.694664848,0.6265670970122239,0.11290559321710039
1990-02-01,125710.0,66.7,83.8,62806.0,159507.196355399,0.6778617565581225,0.1116737966123867
1990-03-01,125801.0,66.7,83.6,62829.0,159569.288904233,0.6733475013726276,0.1105708956783624
1990-04-01,125649.0,66.6,83.5,63129.0,159632.913961298,0.6260354346618447,0.11184921949470968
1990-05-01,125893.0,66.6,83.5,63020.0,159656.024551627,0.6286270500578631,0.1124775838411773
1990-06-01,125573.0,66.4,83.4,63485.0,159777.955178866,0.6731758853617398,0.11079533467922932
1990-07-01,125732.0,66.5,83.4,63456.0,159814.761244615,0.576950295110397,0.11274643638878956
1990-08-01,125990.0,66.5,83.4,63352.0,159971.300787702,0.5819671676221047,0.11750132013134035
1990-09-01,125892.0,66.4,83.4,63636.0,160245.468686441,0.5643571160199093,0.12050302823083289
